date,open,high,low,close,volume,Name
2015-12-29,76.39,77.06,76.22,77.01,1103635,DLR
2015-12-30,76.8,77.255,76.68,76.93,909563,DLR
2015-12-31,76.85,76.85,75.59,75.62,751033,DLR
2016-01-04,74.86,76.6,74.86,76.2,1840052,DLR
2016-01-05,76.19,76.45,75.48,76.29,1344496,DLR
2016-01-06,75.91,77.34,75.81,77.0,1385943,DLR
2016-01-07,76.28,77.04,76.1101,76.78,1349595,DLR
2016-01-08,77.02,77.665,76.79,77.04,1496879,DLR
2016-01-11,77.12,78.95,77.05,78.6,2000988,DLR
2016-01-12,79.3,79.54,77.91,78.08,1972767,DLR
2016-01-13,78.21,78.55,77.4127,77.63,1127949,DLR
2016-01-14,77.95,78.73,77.31,78.36,1871958,DLR
2016-01-15,77.32,78.23,76.2,76.32,1868870,DLR
2016-01-19,76.72,77.28,75.02,75.1,1753156,DLR
2016-01-20,74.29,74.29,69.89,72.64,2154461,DLR
2016-01-21,72.93,73.54,71.87,72.5,1537699,DLR
2016-01-22,73.16,74.848,73.03,74.76,1027520,DLR
2016-01-25,74.77,76.42,74.29,75.72,1475658,DLR
2016-01-26,75.87,78.53,75.74,78.53,2177220,DLR
2016-01-27,78.09,78.38,76.51,77.04,1611204,DLR
2016-01-28,77.54,80.8,77.08,79.47,2239202,DLR
2016-01-29,79.77,80.27,78.6518,80.08,2382671,DLR
2016-02-01,80.0,80.13,78.75,79.62,1585421,DLR
2016-02-02,79.49,80.08,78.74,79.6,1085973,DLR
2016-02-03,79.95,80.99,79.87,80.83,1799434,DLR
2016-02-04,80.39,81.97,79.85,81.35,1064346,DLR
2016-02-05,81.0,82.24,80.503,81.76,1329758,DLR
2016-02-08,81.08,81.29,77.72,78.49,2694596,DLR
2016-02-09,77.68,78.39,76.36,77.15,1932334,DLR
2016-02-10,77.45,78.55,76.51,77.93,1647351,DLR
2016-02-11,77.16,77.9,76.4303,77.08,1707884,DLR
2016-02-12,78.11,79.43,77.5,79.24,1008318,DLR
2016-02-16,79.71,80.76,79.08,80.4,1027294,DLR
2016-02-17,80.83,81.46,79.62,79.77,1179339,DLR
2016-02-18,79.76,80.55,79.0,79.9,1361956,DLR
2016-02-19,80.01,82.07,79.81,81.42,1154791,DLR
2016-02-22,82.05,82.7,81.42,81.57,1025016,DLR
2016-02-23,81.5,82.5,80.73,81.0,1164380,DLR
2016-02-24,80.59,81.08,78.75,80.5,1266574,DLR
2016-02-25,81.4,82.2,80.88,81.85,1305663,DLR
2016-02-26,81.61,81.79,76.93,78.95,2685253,DLR
2016-02-29,79.09,79.83,78.62,79.07,2751363,DLR
2016-03-01,79.34,81.73,78.94,81.73,1974453,DLR
2016-03-02,81.47,82.54,80.91,82.39,1248845,DLR
2016-03-03,82.66,82.6739,81.02,82.27,1201349,DLR
2016-03-04,81.89,82.26,80.6924,81.89,1616553,DLR
2016-03-07,81.47,82.51,81.425,82.47,1151689,DLR
2016-03-08,82.65,84.0,82.285,83.94,1585126,DLR
2016-03-09,83.9,85.81,83.4,85.65,1913704,DLR
2016-03-10,85.93,86.14,84.49,85.23,1726320,DLR
2016-03-11,84.74,85.81,84.05,85.58,1439552,DLR
2016-03-14,85.36,85.77,84.69,85.09,1009209,DLR
2016-03-15,84.76,87.04,84.58,86.6,1201660,DLR
2016-03-16,86.39,87.42,85.85,87.07,869093,DLR
2016-03-17,86.79,88.71,86.57,88.41,1433789,DLR
2016-03-18,88.0,88.58,87.51,88.44,1574692,DLR
2016-03-21,87.55,87.78,86.02,86.47,1152645,DLR
2016-03-22,86.34,88.23,86.15,87.13,1243230,DLR
2016-03-23,87.13,88.06,86.36,87.12,1145559,DLR
2016-03-24,86.96,86.96,85.74,86.16,1259609,DLR
2016-03-28,86.35,87.29,86.28,86.94,838826,DLR
