date,open,high,low,close,volume,Name
2015-01-26,72.4,74.0,72.3,73.15,1571826,QRVO
2015-01-27,73.0,73.88,71.5,73.75,1246687,QRVO
2015-01-28,75.0,78.05,74.22,75.5,3063005,QRVO
2015-01-29,72.7,75.88,72.2,75.76,2636706,QRVO
2015-01-30,74.64,75.26,73.31,73.87,1623369,QRVO
2015-02-02,73.08,74.0,66.88,68.72,3348309,QRVO
2015-02-03,68.74,70.0,67.05,68.52,2551794,QRVO
2015-02-04,67.53,69.3999,66.76,68.33,1499558,QRVO
2015-02-05,67.66,68.73,66.5,67.39,1322918,QRVO
2015-02-06,67.5,68.5,65.53,65.89,1302192,QRVO
2015-02-09,65.2,65.8245,63.35,63.74,1563602,QRVO
2015-02-10,63.87,65.12,63.67,65.02,1306622,QRVO
2015-02-11,64.93,65.65,63.17,64.75,1096587,QRVO
2015-02-12,65.63,66.33,65.0,66.2,1159026,QRVO
2015-02-13,66.35,70.27,65.6301,70.03,1870878,QRVO
2015-02-17,70.0,70.0,68.06,69.44,973963,QRVO
2015-02-18,69.15,70.0,67.31,67.54,1056656,QRVO
2015-02-19,67.0,68.17,65.25,65.3,1225397,QRVO
2015-02-20,65.57,65.77,64.04,65.17,1463428,QRVO
2015-02-23,65.16,65.88,64.3,65.05,889737,QRVO
2015-02-24,65.36,69.35,65.2,69.34,1700103,QRVO
2015-02-25,68.95,69.28,66.6,67.21,965173,QRVO
2015-02-26,68.0,71.72,67.89,71.53,2116352,QRVO
2015-02-27,70.75,71.428,69.2,69.4,1400857,QRVO
2015-03-02,69.39,70.8,68.8,69.35,1127924,QRVO
2015-03-03,69.36,70.96,68.35,70.84,1509044,QRVO
2015-03-04,70.23,73.25,70.11,72.02,1397547,QRVO
2015-03-05,72.2,75.16,72.02,74.51,1621943,QRVO
2015-03-06,73.41,74.5,72.75,72.98,988083,QRVO
2015-03-09,73.24,75.45,73.13,74.83,1076610,QRVO
2015-03-10,74.13,74.31,71.74,72.15,1365519,QRVO
2015-03-11,72.67,73.6,72.05,72.95,1039697,QRVO
2015-03-12,73.34,74.35,72.92,73.42,794838,QRVO
2015-03-13,73.35,73.99,71.8,72.57,761933,QRVO
2015-03-16,74.21,76.75,74.0,76.33,1822376,QRVO
2015-03-17,76.16,78.12,75.9,77.71,1824736,QRVO
2015-03-18,77.86,80.8,77.69,79.96,2272864,QRVO
2015-03-19,81.52,82.27,79.21,80.38,1885961,QRVO
2015-03-20,81.44,81.4999,79.695,80.8,4740960,QRVO
2015-03-23,81.15,84.19,81.07,84.09,2001013,QRVO
2015-03-24,84.6,85.6275,82.66,83.21,1792326,QRVO
2015-03-25,83.55,83.79,75.52,77.13,3728849,QRVO
2015-03-26,73.5,77.75,72.1,77.19,3005851,QRVO
2015-03-27,77.63,80.69,77.51,79.28,2634855,QRVO
2015-03-30,80.22,81.4,79.71,81.4,1820353,QRVO
2015-03-31,80.93,81.0,78.5503,79.7,2006906,QRVO
2015-04-01,78.53,79.3,77.81,78.8,1430165,QRVO
2015-04-02,79.2,79.2,76.67,77.79,1603809,QRVO
2015-04-06,76.88,77.15,75.2,76.51,1613574,QRVO
2015-04-07,77.08,77.69,72.73,73.23,2251917,QRVO
2015-04-08,73.8,75.2,72.51,72.84,2108002,QRVO
2015-04-09,72.71,74.9,71.22,74.63,1385059,QRVO
2015-04-10,75.61,75.93,72.7601,73.58,1315407,QRVO
2015-04-13,73.79,75.12,72.11,72.63,1243676,QRVO
2015-04-14,72.38,73.17,69.3,70.5,2457067,QRVO
2015-04-15,71.0,72.0,69.37,70.91,1714594,QRVO
2015-04-16,70.8,71.5,68.61,71.46,1495531,QRVO
2015-04-17,70.7,71.11,69.61,70.07,1177836,QRVO
2015-04-20,70.4,72.35,70.4,72.01,1216884,QRVO
2015-04-21,72.5,74.26,72.01,74.07,1159958,QRVO
2015-04-22,74.25,74.54,73.06,74.48,817874,QRVO
